"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","163.76","164.74","165.05","161.80","51.30M","-1.13%"
"04/04/2023","165.63","166.60","166.84","165.11","44.43M","-0.32%"
"04/03/2023","166.17","164.27","166.29","164.22","54.97M","0.77%"
"03/31/2023","164.90","162.44","165.00","161.91","68.75M","1.56%"
"03/30/2023","162.36","161.53","162.47","161.27","46.81M","0.99%"
"03/29/2023","160.77","159.37","161.05","159.35","51.31M","1.98%"
"03/28/2023","157.65","157.97","158.49","155.98","45.58M","-0.40%"
"03/27/2023","158.28","159.94","160.77","157.87","50.42M","-1.23%"
"03/24/2023","160.25","158.86","160.34","157.85","59.26M","0.83%"
"03/23/2023","158.93","158.83","161.55","157.68","67.22M","0.70%"
"03/22/2023","157.83","159.30","162.14","157.81","69.17M","-0.91%"
"03/21/2023","159.28","157.32","159.40","156.54","73.76M","1.19%"
"03/20/2023","157.40","155.07","157.82","154.15","73.47M","1.55%"
"03/17/2023","155.00","156.08","156.74","154.28","98.94M","-0.55%"
"03/16/2023","155.85","152.16","156.46","151.64","76.02M","1.87%"
"03/15/2023","152.99","151.19","153.24","149.92","75.96M","0.26%"
"03/14/2023","152.59","151.28","153.40","150.10","73.37M","1.41%"
"03/13/2023","150.47","147.80","153.14","147.70","84.46M","1.33%"
"03/10/2023","148.50","150.21","150.94","147.61","68.57M","-1.39%"
"03/09/2023","150.59","153.56","154.54","150.23","53.45M","-1.49%"
"03/08/2023","152.87","152.81","153.47","151.83","47.20M","0.84%"
"03/07/2023","151.60","153.70","154.03","151.13","56.18M","-1.45%"
"03/06/2023","153.83","153.79","156.30","153.46","87.56M","1.85%"
